G1 Threshold,G2 Threshold,G3 Threshold,P90 Memory,Collections,Average Memory / Collection
7,10,10,2282486,16453,10120
70,10,10,3124473,1283,10120
700,10,10,3510637,68,426120
7000,10,10,14861230,8,13607984
70000,10,10,76767770,3,85451912
-1,-1,-1,76768331,2,85523344
