G1 Threshold,G2 Threshold,G3 Threshold,P90 Memory,Collections,Average Memory / Collection
7,10,10,14375732,37410,21952
70,10,10,14507026,1201,21952
700,10,10,14357805,113,22256
7000,10,10,16025611,14,1049872
70000,10,10,26165401,2,11137008
-1,-1,-1,38321066,1,1163040
